"","ROI_185","ROI_186","ROI_187","ROI_188","ROI_189","ROI_190","ROI_191","ROI_192","ROI_193","ROI_194","ROI_195","ROI_196","ROI_197","ROI_198","ROI_199","ROI_200","ROI_201","ROI_202","ROI_203","ROI_204","ROI_205","ROI_206","ROI_207","ROI_208","ROI_209","ROI_210","ROI_211","ROI_212","ROI_213","ROI_214","ROI_215","ROI_216","ROI_217","ROI_218","ROI_219","ROI_220","ROI_221","ROI_222","ROI_223","ROI_224","ROI_225","ROI_226","ROI_227","ROI_228","ROI_229","ROI_230","ROI_231","ROI_232","ROI_233","ROI_234"
"ROI_185",0.25688079673528,0.24147733531766,0.132647530784858,0,0,0,0,0,0.127803069022957,0,0,0,0.0703020936758331,0.103498107660844,0.0943629385193628,0.125073762743183,0.146855561081438,0.189063596315232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702371526999484,0,0,0,0.0598493323590845,0,0.0854740700826369,0,0,0,0
"ROI_186",0.244191775275748,0.304305629774354,0.157283223608026,0,0,0,0.0790407786092286,0,0.117162632760898,0,0.112363691670316,0,0.076606943688468,0.13863350384061,0.108548201687302,0.136160717881298,0.167700192322389,0.228809254336877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091740909651799,0,0,0,0.0577239134313506,0,0.102569025247454,0,0,0,0
"ROI_187",0.132147064954554,0.159421881658901,0.232975285556853,0,0,0,0,0,0.0955147921511509,0,0,0,0,0.111443510482645,0.0850529927357837,0.0760129847727432,0.0715301957487265,0.119585875245002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_188",0,0,0,0.16740691396723,0.105401138201116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113380726885831,0,0,0,0.0914532085640455,0,0,0,0,0,0.147426365791995,0.106046121794405
"ROI_189",0,0,0,0.105716712426106,0.203307715882355,0.092917628387992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106921521533117,0,0,0,0.110566865129538,0,0,0,0.113743573678888,0.0857504836513788,0.175331993758281,0.114630218031497
"ROI_190",0,0,0,0,0.092338881433576,0.217879135768519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132262124998024,0,0,0,0.0855108892012902,0,0,0,0,0,0.10579389474539,0
"ROI_191",0,0.077595254988801,0,0,0,0,0.23345665609494,0,0,0,0,0,0,0,0,0,0,0.0881435728650679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950808096846359,0,0,0,0,0,0,0,0,0,0,0
"ROI_192",0,0,0,0,0,0,0,0.217157036931851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961479844817518,0,0,0,0,0,0,0,0,0,0.10139665819759,0
"ROI_193",0.127846189831247,0.11670487447653,0.0961803297157239,0,0,0,0,0,0.218032386334395,0,0,0.132557436737337,0,0,0.124131391356815,0.102201985715551,0.0680540221402029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROI_194",0,0,0,0,0,0,0,0,0,0.226796137510999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
